Institute ID,Name,City,State,Score,Rank
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,38.01,125
IR-E-S-8898,"National Institute of Food Technology, Enterprenurship & Management",Sonipat,Haryana,37.96,127
IR-E-U-0189,"National Institute of Technology, Hamirpur",Hamirpur,Himachal Pradesh,37.91,128
IR-E-U-0015,Jawaharlal Nehru Technological University,Kakinada,Andhra Pradesh,37.79,129
IR-E-C-27058,Mepco Schlenk Engineering College,Sivakasi,Tamil Nadu,37.79,129
IR-E-C-35417,Bharati Vidyapeeth Deemed University College of Engineering,Pune,Maharashtra,37.75,131
IR-E-U-0616,National Institute of Technology Uttarakhand,Srinagar (Garhwal),Uttarakhand,37.75,131
IR-E-U-0388,"Amity University, Jaipur",Jaipur,Rajasthan,37.65,133
IR-E-U-0130,Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar,Gujarat,37.64,134
IR-E-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,37.58,135
IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,37.49,136
IR-E-C-1345,"P E S College of Engineering, Mandya",Mandya,Karnataka,37.40,137
IR-E-U-0186,Jaypee University of Information Technology,Solan,Himachal Pradesh,37.39,138
IR-E-C-10342,Chandigarh Engineering College,Sahibzada Ajit Singh Nagar,Punjab,37.37,139
IR-E-C-19747,Anurag University,Hyderabad,Telangana,37.33,140
IR-E-C-18010,Velagapudi Ramakrishna Siddhartha Engineering College,Vijayawada,Andhra Pradesh,37.30,141
IR-E-I-1015,Vishwakarma Institute of Technology,Pune,Maharashtra,37.28,142
IR-E-U-0175,"J. C. Bose University of Science and Technology, YMCA",Faridabad,Haryana,37.27,143
IR-E-U-0373,Chitkara University,Rajpura,Punjab,37.24,144
IR-E-I-1093,Noida Institute of Engineering & Technology,Greater Noida,Uttar Pradesh,37.20,145
IR-E-C-18886,Shri Ramdeobaba College of Engineering and Management,Nagpur,Maharashtra,37.02,146
IR-E-U-0643,Galgotias University,Gautam Budh Nagar,Uttar Pradesh,36.89,147
IR-E-C-19534,Goka Raju Ranga Raju Institute of Engineering & Technology,Hyderabad,Telangana,36.79,148
IR-E-U-0143,Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,36.78,149
IR-E-C-6581,Pondicherry Engineering College,Puducherry,Pondicherry,36.77,150
IR-E-C-43264,"National Institute of Advanced Manufacturing Technology, Ranchi",Ranchi,Jharkhand,36.77,150
IR-E-U-0454,Hindustan Institute of Technology and Science (HITS),Chennai,Tamil Nadu,36.71,152
IR-E-U-0604,"Amity University, Gwalior",Gwalior,Madhya Pradesh,36.49,153
IR-E-C-16614,R.M.K. Engineering College,Thiruvallur,Tamil Nadu,36.46,154
IR-E-U-1119,Mahindra University,Hyderabad,Telangana,36.46,154
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,36.44,156
IR-E-C-16547,Sri Sairam Engineering College,Kancheepuram,Tamil Nadu,36.41,157
IR-E-C-1412,JSS Science and Technology University   ,Mysuru,Karnataka,36.36,158
IR-E-U-0491,Vels Institute of Science Technology & Advanced Studies (VISTAS) -Chennai,Chennai,Tamil Nadu,36.35,159
IR-E-C-36975,Government College of Technology,Coimbatore,Tamil Nadu,36.22,160
IR-E-C-30153,"Silicon Institute of Technology (SIT), Bhubaneswar",Bhubaneswar,Odisha,36.19,161
IR-E-C-19650,Vardhaman College of Engineering,Rangareddy,Telangana,36.15,162
IR-E-C-18817,"G. H. Raisoni College of Engineering, Nagpur",Nagpur,Maharashtra,36.12,163
IR-E-U-0541,Sharda University,Greater Noida,Uttar Pradesh,36.10,164
IR-E-C-26929,Sree Vidyanikethan Engineering College,Tirupati,Andhra Pradesh,36.08,165
IR-E-C-25622,Chaitanya Bharathi Institute of Technology,Hyderabad,Telangana,35.84,166
IR-E-C-33773,Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,Mumbai,Maharashtra,35.62,167
IR-E-I-1356,Rabindranath Tagore University,Raisen,Madhya Pradesh,35.62,167
IR-E-C-27089,National Engineering College,Kovilpatti,Tamil Nadu,35.58,169
IR-E-C-19607,CVR College of Engineering,Ibrahimpatan,Telangana,35.51,170
IR-E-U-0615,National Institute of Technology Arunachal Pradesh,Itanagar,Arunachal Pradesh,35.49,171
IR-E-C-42054,Army Institute of Technology,Pune,Maharashtra,35.38,172
IR-E-U-0614,National Institute of Technology Sikkim,South Sikkim,Sikkim,35.33,173
IR-E-C-37028,Sona College of Technology,Salem,Tamil Nadu,35.29,174
IR-E-C-1400,NMAM Institute of Technology,"Nitte, Udupi",Karnataka,35.27,175
IR-E-C-16576,Chennai Institute of Technology,Chennai,Tamil Nadu,35.27,175
IR-E-U-0685,Indira Gandhi Delhi Technical University for Women,Delhi,Delhi,35.23,177
IR-E-U-0384,Sant Longowal Institute of Engineering & Technology,Longowal,Punjab,35.20,178
IR-E-U-0774,DIT University,Dehradun,Uttarakhand,35.14,179
IR-E-C-1406,C M R Institute of Technology,Bengaluru,Karnataka,35.11,180
IR-E-C-16560,Easwari Engineering College,Chennai,Tamil Nadu,35.07,181
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,34.99,182
IR-E-C-1352,Nitte Meenakshi Institute of Technology,Bengaluru,Karnataka,34.97,183
